idx	label	predict	radius	correct	time
0	0	-1	0.0	0	0:04:27.455577
100	2	-1	0.0	0	0:02:11.344128
200	4	-1	0.0	0	0:02:08.966578
300	6	5	1.49	0	0:02:10.200047
400	8	8	1.26	1	0:02:10.461293
500	10	13	0.529	0	0:02:09.319883
600	12	448	0.0184	0	0:02:07.986213
700	14	14	0.558	1	0:02:08.793495
800	16	16	0.0809	1	0:02:08.190001
900	18	18	0.135	1	0:02:08.575871
1000	20	20	0.0129	1	0:02:08.715507
1100	22	23	0.248	0	0:02:09.449260
1200	24	24	1.31	1	0:02:09.061464
1300	26	395	0.392	0	0:02:09.185283
1400	28	-1	0.0	0	0:02:08.620210
1500	30	30	0.334	1	0:02:08.764278
1600	32	26	0.528	0	0:02:09.423306
1700	34	-1	0.0	0	0:02:09.335071
1800	36	-1	0.0	0	0:02:09.347443
1900	38	44	0.354	0	0:02:09.221686
2000	40	59	0.102	0	0:02:09.002367
2100	42	-1	0.0	0	0:02:08.811828
2200	44	44	0.409	1	0:02:08.487742
2300	46	46	0.213	1	0:02:09.097532
2400	48	-1	0.0	0	0:02:09.180943
2500	50	50	0.0128	1	0:02:07.933346
2600	52	-1	0.0	0	0:02:08.864461
2700	54	57	1.43	0	0:02:09.313024
2800	56	56	0.455	1	0:02:09.896606
2900	58	-1	0.0	0	0:02:08.454760
3000	60	-1	0.0	0	0:02:09.577306
3100	62	-1	0.0	0	0:02:10.867630
3200	64	64	0.181	1	0:02:09.940926
3300	66	54	0.023	0	0:02:08.803127
3400	68	-1	0.0	0	0:02:09.685327
3500	70	70	1.23	1	0:02:09.185588
3600	72	74	0.452	0	0:02:10.206832
3700	74	-1	0.0	0	0:02:09.959411
3800	76	76	0.0342	1	0:02:08.575048
3900	78	78	0.575	1	0:02:09.838006
4000	80	80	1.43	1	0:02:08.996463
4100	82	-1	0.0	0	0:02:08.816793
4200	84	84	0.341	1	0:02:08.559390
4300	86	86	0.821	1	0:02:09.942074
4400	88	88	0.532	1	0:02:09.045794
4500	90	90	1.13	1	0:02:10.245100
4600	92	92	0.0911	1	0:02:08.637810
4700	94	95	1.36	0	0:02:10.087352
4800	96	96	1.6	1	0:02:08.519855
4900	98	98	0.312	1	0:02:09.161184
5000	100	100	1.6	1	0:02:08.528612
5100	102	102	1.14	1	0:02:10.049446
5200	104	280	0.334	0	0:02:09.010664
5300	106	106	0.803	1	0:02:09.272220
5400	108	-1	0.0	0	0:02:08.811919
5500	110	110	0.704	1	0:02:09.841000
5600	112	112	0.819	1	0:02:11.493635
5700	114	986	0.00978	0	0:02:10.400852
5800	116	116	0.682	1	0:02:09.779567
5900	118	118	1.17	1	0:02:09.785322
6000	120	119	0.619	0	0:02:08.705607
6100	122	-1	0.0	0	0:02:09.190380
6200	124	118	0.192	0	0:02:09.166624
6300	126	-1	0.0	0	0:02:10.284524
6400	128	127	0.666	0	0:02:09.243519
6500	130	134	0.146	0	0:02:08.522080
6600	132	132	1.43	1	0:02:08.673136
6700	134	132	1.28	0	0:02:08.512877
6800	136	136	1.6	1	0:02:09.255057
6900	138	138	0.792	1	0:02:08.682943
7000	140	140	0.524	1	0:02:08.223703
7100	142	142	0.112	1	0:02:08.032247
7200	144	131	0.0125	0	0:02:08.300373
7300	146	-1	0.0	0	0:02:08.603085
7400	148	148	1.6	1	0:02:09.104113
7500	150	360	0.836	0	0:02:09.795821
7600	152	152	1.28	1	0:02:10.344884
7700	154	262	0.276	0	0:02:07.956909
7800	156	156	0.878	1	0:02:08.246929
7900	158	253	0.287	0	0:02:08.669637
8000	160	-1	0.0	0	0:02:08.317917
